timestamp,device,session_id,seq,true_dist_m,angle_deg,distance_m,rx_power,fp_power,fp_rx_ratio,quality,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,nlos_suspect,anchor_id,error_m,ampl1_ratio,cir_norm,ampl_spread
2026-02-19T22:50:32.819,T1,20260219_225121,140,1.0,0.0,3.138,-73.3,-89.0,-15.7,251.16,64,14339,16074,11521,15896,1416,True,1,2.138,1.0392462402609168,11.225988700564972,4553
2026-02-19T22:50:34.799,T1,20260219_225121,144,1.0,0.0,3.391,-75.3,-90.2,-14.9,332.6,48,61,15965,14326,13899,1417,True,1,2.391,0.0040275989567858436,9.808750882145377,1639
2026-02-19T22:50:36.898,T1,20260219_225121,148,1.0,0.0,2.805,-75.2,-92.7,-17.5,135.27,56,11034,7575,4831,11080,1262,True,1,1.805,1.778816701596002,8.7797147385103,2744
2026-02-19T22:50:37.798,T1,20260219_225121,150,1.0,0.0,2.88,-75.3,-91.8,-16.6,173.41,64,9256,11098,9801,13590,1399,True,1,1.88,0.885784008804249,9.71408148677627,1297
2026-02-19T22:50:39.838,T1,20260219_225121,154,1.0,0.0,3.016,-78.8,-94.1,-15.3,190.88,48,9950,9162,6007,12834,1538,True,1,2.016,1.3118860834596875,8.344603381014304,3155
2026-02-19T22:50:40.318,T1,20260219_225121,155,1.0,0.0,2.852,-75.9,-93.6,-17.8,173.48,52,9209,9021,5951,13060,1400,True,1,1.852,1.230162970878974,9.32857142857143,3070
2026-02-19T22:50:40.798,T1,20260219_225121,156,1.0,0.0,2.81,-78.6,-94.3,-15.7,189.6,48,9762,9101,5902,13128,1543,True,1,1.81,1.3013397320535893,8.508101101749839,3199
2026-02-19T22:50:41.279,T1,20260219_225121,157,1.0,0.0,3.335,-78.4,-94.7,-16.3,168.1,48,8316,8069,5445,11251,1419,True,1,2.335,1.2307236939470179,7.928823114869626,2624
2026-02-19T22:50:41.819,T1,20260219_225121,158,1.0,0.0,3.288,-80.0,-94.9,-14.9,192.91,32,7259,6173,4044,6934,1178,True,1,2.288,1.420965058236273,5.886247877758914,2129
2026-02-19T22:50:42.838,T1,20260219_225121,160,1.0,0.0,2.885,-75.5,-92.8,-17.4,191.25,44,9377,8415,5759,10596,1245,True,1,1.885,1.3231268519825032,8.510843373493977,2656
