
sample,millis,distance_m,round_trip_ticks,reply_delay_ticks,tof_ticks,rx_power_dBm,fp_power_dBm,quality,temp_C,pressure_hPa
1,37087,157.8442,359955391,359888085,33653,-66.47,-103.54,9.35,25.32,1005.5
2,37156,157.4502,361394922,361327784,33569,-66.71,-108.02,13.71,25.32,1005.5
3,37225,157.0843,358774315,358707332,33491,-65.60,-110.09,18.51,25.32,1005.5
4,49756,157.6050,362492835,362425631,33602,-67.38,-101.27,16.99,25.32,1005.5
5,49825,157.6753,363606695,363539460,33617,-66.42,-94.32,74.52,25.32,1005.5
6,49894,157.5159,361598178,361531011,33583,-66.32,-94.62,62.71,25.32,1005.5
7,49963,157.2110,364108836,364041799,33518,-66.71,-111.97,15.78,25.32,1005.5
8,50031,157.0609,371606788,371539815,33486,-67.30,-101.82,36.40,25.32,1005.5
9,50100,157.0796,372732315,372665334,33490,-67.32,-97.43,34.30,25.32,1005.5
10,50170,157.5721,373823578,373756388,33595,-67.51,-99.04,22.13,25.32,1005.5
11,50238,156.8076,363081854,363014990,33432,-67.14,-109.60,18.70,25.32,1005.5
12,50307,156.7373,370935625,370868790,33417,-67.23,-108.86,19.48,25.32,1005.5
13,50377,156.7654,372341838,372274992,33423,-66.94,-110.54,17.07,25.32,1005.5
14,50445,157.6613,359846391,359779163,33614,-66.84,-103.91,6.13,25.32,1005.5
15,50514,158.0365,357067068,356999679,33694,-66.53,-104.97,16.19,25.32,1005.5
16,50582,157.5581,372981835,372914650,33592,-66.42,-103.66,31.34,25.32,1005.5
17,50651,157.5956,370256859,370189659,33600,-66.58,-98.23,12.68,25.32,1005.5
18,50720,156.7607,369495206,369428361,33422,-67.04,-109.67,18.41,25.32,1005.5
19,50789,157.5956,371055368,370988167,33600,-66.53,-104.28,36.40,25.32,1005.5
20,50858,157.2063,370741248,370674213,33517,-88.22,-109.74,20.71,25.32,1005.5
21,50927,156.8076,371525181,371458317,33432,-66.84,-108.72,18.37,25.32,1005.5
22,50996,157.6331,360980738,360913521,33608,-65.57,-102.91,14.09,25.32,1005.5
